run_id,scenario,arm,variant,calls,input_tokens,output_tokens,cache_read_input_tokens,cache_creation_input_tokens,cost_usd,model_time_s,wall_clock_s,unpriced_calls,db_requests,db_errors,db_blocked,db_endpoints,gate_auto,gate_ask,gate_detail
happy_path-agent-autonomy_aggressive-013,happy_path,agent,autonomy_aggressive,14,98371,4364,88715,9632,0.141092,88.821,97.14,0,2,0,0,departures=2,1,0,book_alternative_connection:auto=1
happy_path-agent-autonomy_aggressive-014,happy_path,agent,autonomy_aggressive,13,89829,4134,79924,9882,0.135427,82.554,90.94,0,2,0,0,departures=2,1,0,book_alternative_connection:auto=1
happy_path-agent-autonomy_conservative-011,happy_path,agent,autonomy_conservative,14,98547,4285,88354,10169,0.14188599999999998,90.71000000000001,99.05,0,2,0,0,departures=2,0,1,book_alternative_connection:ask=1
happy_path-agent-autonomy_conservative-012,happy_path,agent,autonomy_conservative,13,90906,4396,81262,9621,0.139113,90.249,98.41,0,2,0,0,departures=2,0,1,book_alternative_connection:ask=1
happy_path-agent-default-001,happy_path,agent,default,14,98953,4453,89176,9753,0.14321300000000003,92.43300000000002,100.42,0,2,0,0,departures=2,1,0,book_alternative_connection:auto=1
happy_path-agent-default-002,happy_path,agent,default,14,97713,4150,87776,9913,0.138412,87.394,94.7,0,2,0,0,departures=2,1,0,book_alternative_connection:auto=1
happy_path-agent-pretrip_default-015,happy_path,agent,pretrip_default,15,104704,4284,95504,9175,0.140131,95.406,114.42,0,8,0,0,arrivals=5;journeys=3,0,1,book_alternative_connection:ask=1
happy_path-agent-pretrip_default-016,happy_path,agent,pretrip_default,13,89048,4394,80232,8793,0.135325,90.81900000000002,106.94,0,8,0,0,arrivals=5;journeys=3,0,1,book_alternative_connection:ask=1
happy_path-agent-pretrip_llm_risk-017,happy_path,agent,pretrip_llm_risk,13,92154,5144,80260,11871,0.160406,111.455,125.88,0,8,0,0,arrivals=5;journeys=3,0,1,book_alternative_connection:ask=1
happy_path-agent-pretrip_llm_risk-018,happy_path,agent,pretrip_llm_risk,14,100438,5240,91181,9233,0.154715,114.77700000000002,129.16,0,8,0,0,arrivals=5;journeys=3,0,1,book_alternative_connection:ask=1
happy_path-baseline-default-003,happy_path,baseline,default,1,3703,1312,0,0,0.033868,30.702,31.22,0,0,0,0,,0,0,
happy_path-baseline-default-004,happy_path,baseline,default,1,3703,1164,0,0,0.031426,27.867,28.41,0,0,0,0,,0,0,
no_train_alternative-agent-default-005,no_train_alternative,agent,default,22,174170,9578,153437,20697,0.294166,191.74400000000003,214.97,0,15,0,0,arrivals=10;departures=3;journeys=2,0,0,
no_train_alternative-agent-default-006,no_train_alternative,agent,default,22,174254,9383,153365,20853,0.291569,184.188,208.16,0,15,0,0,arrivals=10;departures=4;journeys=1,0,0,
no_train_alternative-baseline-default-007,no_train_alternative,baseline,default,1,3448,1482,0,0,0.035831,33.663,34.25,0,0,0,0,,0,0,
no_train_alternative-baseline-default-008,no_train_alternative,baseline,default,1,3448,1610,0,0,0.037943,36.048,36.62,0,0,0,0,,0,0,
sidecar_offline-agent-default-009,sidecar_offline,agent,default,13,88674,3924,79384,9267,0.129245,80.11400000000002,90.14,0,2,2,0,departures=2,1,0,book_alternative_connection:auto=1
sidecar_offline-agent-default-010,sidecar_offline,agent,default,13,89412,4185,80462,8927,0.132506,86.43099999999998,96.64,0,2,2,0,departures=2,1,0,book_alternative_connection:auto=1
